_unit_id,sidewalk_ok,sidewalk_ok_confidence,address,lat,long,sidewalk_ok_gold,sidewalk_ok_gold_reason,street,city,state_zip,country,state,zip
752055917,yes,1,"255-07 149th Avenue, Jamaica, NY 11422, USA",40.65321211,-73.73395548,"","",255-07 149th Avenue,Jamaica,NY 11422,USA,NY,11422
752055918,"","","15228-15236 Wicks Boulevard, San Leandro, CA 94579, USA",37.68710119,-122.16141,"","",15228-15236 Wicks Boulevard,San Leandro,CA 94579,USA,CA,94579
752055919,yes,1,"13927 Santiago Road, San Leandro, CA 94577, USA",37.69729879,-122.1783191,"","",13927 Santiago Road,San Leandro,CA 94577,USA,CA,94577
752055920,yes,1,"14705 Fisk Court, San Leandro, CA 94579, USA",37.69769277,-122.1566892,"","",14705 Fisk Court,San Leandro,CA 94579,USA,CA,94579
752055921,yes,1,"4041 North Chipwood Drive, Harvey, LA 70058, USA",29.85331671,-90.08270665,"","",4041 North Chipwood Drive,Harvey,LA 70058,USA,LA,70058
752055922,yes,1,"2636 West Catawba Drive, Harvey, LA 70058, USA",29.85416518,-90.07979439,"","",2636 West Catawba Drive,Harvey,LA 70058,USA,LA,70058
752055923,"","","3082-3238 Peters Road, Harvey, LA 70058, USA",29.85686934,-90.06249093,"","",3082-3238 Peters Road,Harvey,LA 70058,USA,LA,70058
752055924,yes,1,"2509 Oklahoma Drive, Marrero, LA 70072, USA",29.84578917,-90.10532445,"","",2509 Oklahoma Drive,Marrero,LA 70072,USA,LA,70072
752055925,yes,1,"26426 Graham Road, Redford Charter Township, MI 48239, USA",42.395782,-83.30412569,"","",26426 Graham Road,Redford Charter Township,MI 48239,USA,MI,48239
752055926,yes,1,"26736 Student Street, Redford Charter Township, MI 48239, USA",42.40011676,-83.30749628,"","",26736 Student Street,Redford Charter Township,MI 48239,USA,MI,48239
752055927,yes,1,"2300 Peppertree Way, Antioch, CA 94509, USA",38.00225382,-121.8220073,"","",2300 Peppertree Way,Antioch,CA 94509,USA,CA,94509
752055928,yes,1,"2125 Mandarin Way, Antioch, CA 94509, USA",38.0039175,-121.824525,"","",2125 Mandarin Way,Antioch,CA 94509,USA,CA,94509
752055929,"","","1000 South Braintree Drive, Schaumburg, IL 60193, USA",42.00782972,-88.1105384,"","",1000 South Braintree Drive,Schaumburg,IL 60193,USA,IL,60193
752055930,yes,1,"607 Hingham Lane, Schaumburg, IL 60193, USA",42.01511694,-88.10181917,"","",607 Hingham Lane,Schaumburg,IL 60193,USA,IL,60193
752055931,yes,1,"3733 San Anseline Avenue, Long Beach, CA 90808, USA",33.82607835,-118.1211693,"","",3733 San Anseline Avenue,Long Beach,CA 90808,USA,CA,90808
752055932,yes,1,"5442 East Carita Street, Long Beach, CA 90808, USA",33.82411749,-118.1259233,"","",5442 East Carita Street,Long Beach,CA 90808,USA,CA,90808
752055933,yes,1,"2410 North 85th Street, Wauwatosa, WI 53226, USA",43.06266724,-88.01825753,"","",2410 North 85th Street,Wauwatosa,WI 53226,USA,WI,53226
752055934,yes,1,"2600-2626 North 80th Street, Wauwatosa, WI 53213, USA",43.0664327,-88.01242381,"","",2600-2626 North 80th Street,Wauwatosa,WI 53213,USA,WI,53213
752055935,yes,1,"931 Linwood Avenue, Collingswood, NJ 08108, USA",39.9099922,-75.06380486,"","",931 Linwood Avenue,Collingswood,NJ 08108,USA,NJ,08108
752055936,no,1,"712 South Newton Lake Drive, Collingswood, NJ 08108, USA",39.90674271,-75.06984796,"","",712 South Newton Lake Drive,Collingswood,NJ 08108,USA,NJ,08108
752055937,yes,1,"98 Westwood Drive, San Francisco, CA 94112, USA",37.72744958,-122.4588148,"","",98 Westwood Drive,San Francisco,CA 94112,USA,CA,94112
752055938,yes,1,"160 Burlwood Drive, San Francisco, CA 94127, USA",37.73495396,-122.4522868,"","",160 Burlwood Drive,San Francisco,CA 94127,USA,CA,94127
752055939,"","","315 North La Grange Road, La Grange Park, IL 60526, USA",41.82038284,-87.86792236,"","",315 North La Grange Road,La Grange Park,IL 60526,USA,IL,60526
752055940,yes,1,"606 Forest Road, La Grange Park, IL 60526, USA",41.82561597,-87.86822871,"","",606 Forest Road,La Grange Park,IL 60526,USA,IL,60526
752055941,yes,1,"2632 Yuba Street, El Cerrito, CA 94530, USA",37.93758214,-122.3178948,"","",2632 Yuba Street,El Cerrito,CA 94530,USA,CA,94530
752055942,yes,1,"446 42nd Street, Richmond, CA 94805, USA",37.93512685,-122.3292134,"","",446 42nd Street,Richmond,CA 94805,USA,CA,94805
752055943,yes,1,"14865 Farnsworth Street, San Leandro, CA 94579, USA",37.69415992,-122.152205,"","",14865 Farnsworth Street,San Leandro,CA 94579,USA,CA,94579
752055944,yes,1,"1233 Avon Avenue, San Leandro, CA 94579, USA",37.69352866,-122.1528253,"","",1233 Avon Avenue,San Leandro,CA 94579,USA,CA,94579
752055945,yes,1,"38134 Versailles Street, Palmdale, CA 93552, USA",34.57485432,-118.0110362,"","",38134 Versailles Street,Palmdale,CA 93552,USA,CA,93552
752055946,yes,1,"38201 Ranger Drive, Palmdale, CA 93552, USA",34.5761565,-118.0172757,"","",38201 Ranger Drive,Palmdale,CA 93552,USA,CA,93552
752055947,yes,1,"6835 South Lakeshore Drive, Tempe, AZ 85283, USA",33.35790962,-111.9196087,"","",6835 South Lakeshore Drive,Tempe,AZ 85283,USA,AZ,85283
752055948,no,1,"1606 East Vaughn Street, Tempe, AZ 85283, USA",33.36186235,-111.9143033,"","",1606 East Vaughn Street,Tempe,AZ 85283,USA,AZ,85283
752055949,yes,1,"4230 Anna Avenue, Lyons, IL 60534, USA",41.81355097,-87.83931854,"","",4230 Anna Avenue,Lyons,IL 60534,USA,IL,60534
752055950,yes,1,"4013 Grove Avenue, Brookfield, IL 60513, USA",41.81812592,-87.84102675,"","",4013 Grove Avenue,Brookfield,IL 60513,USA,IL,60513
752055951,yes,1,"25 Clinton Lane, Jericho, NY 11753, USA",40.78255433,-73.54400444,"","",25 Clinton Lane,Jericho,NY 11753,USA,NY,11753
752055952,yes,1,"21 Saint Lawrence Place, Jericho, NY 11753, USA",40.77858583,-73.5446789,"","",21 Saint Lawrence Place,Jericho,NY 11753,USA,NY,11753
752055953,"","","Jones Beach Bikeway, Wantagh, NY 11793, USA",40.65144172,-73.50963966,"","",Jones Beach Bikeway,Wantagh,NY 11793,USA,NY,11793
752055954,yes,1,"236 Forest Avenue, Massapequa, NY 11758, USA",40.66267884,-73.47991787,"","",236 Forest Avenue,Massapequa,NY 11758,USA,NY,11758
752055955,no,1,"141 Hampton Boulevard, Massapequa, NY 11758, USA",40.65985134,-73.45795359,"","",141 Hampton Boulevard,Massapequa,NY 11758,USA,NY,11758
752055956,yes,1,"2743 Covered Bridge Road, Merrick, NY 11566, USA",40.64869981,-73.55603538,"","",2743 Covered Bridge Road,Merrick,NY 11566,USA,NY,11566
752055957,no,1,"2563 Island Channel Road, Seaford, NY 11783, USA",40.65721799,-73.49871758,"","",2563 Island Channel Road,Seaford,NY 11783,USA,NY,11783
752055958,yes,1,"155 Dorset Road, Newton, MA 02462, USA",42.33021253,-71.23886058,"","",155 Dorset Road,Newton,MA 02462,USA,MA,02462
752055959,no,1,"67 Dorset Road, Newton, MA 02462, USA",42.32869548,-71.23600158,"","",67 Dorset Road,Newton,MA 02462,USA,MA,02462
752055960,yes,1,"2111 Saddle Path, Seaford, NY 11783, USA",40.66977184,-73.4967184,"","",2111 Saddle Path,Seaford,NY 11783,USA,NY,11783
752055961,yes,1,"2035-2039 Seaford Avenue, Wantagh, NY 11793, USA",40.66963578,-73.50008969,"","",2035-2039 Seaford Avenue,Wantagh,NY 11793,USA,NY,11793
752055962,"","","1603 West Beardsley Road, Glendale, AZ 85308, USA",33.66720518,-112.2107924,"","",1603 West Beardsley Road,Glendale,AZ 85308,USA,AZ,85308
752055963,"","","7201 West Arrowhead Clubhouse Drive, Glendale, AZ 85308, USA",33.66561339,-112.213956,"","",7201 West Arrowhead Clubhouse Drive,Glendale,AZ 85308,USA,AZ,85308
752055964,"","","10345 Barrywood Way, San Diego, CA 92131, USA",32.90938599,-117.0703368,"","",10345 Barrywood Way,San Diego,CA 92131,USA,CA,92131
752055965,yes,1,"12424 Rue Fountainebleau, San Diego, CA 92131, USA",32.90724592,-117.0708199,"","",12424 Rue Fountainebleau,San Diego,CA 92131,USA,CA,92131
752055966,no,1,"330-340 Walton Street, West Hempstead, NY 11552, USA",40.69388764,-73.65146252,"","",330-340 Walton Street,West Hempstead,NY 11552,USA,NY,11552
752055967,no,1,"570 Maple Street, West Hempstead, NY 11552, USA",40.68921977,-73.64683432,"","",570 Maple Street,West Hempstead,NY 11552,USA,NY,11552
752055968,yes,1,"736 Lakeland Street, Grosse Pointe, MI 48230, USA",42.39586772,-82.91490343,"","",736 Lakeland Street,Grosse Pointe,MI 48230,USA,MI,48230
752055969,yes,1,"242 Merriweather Road, Grosse Pointe Farms, MI 48236, USA",42.40274112,-82.90308472,"","",242 Merriweather Road,Grosse Pointe Farms,MI 48236,USA,MI,48236
752055970,yes,1,"220-222 Lake Shore Road, Grosse Pointe Farms, MI 48236, USA",42.39768449,-82.88899349,"","",220-222 Lake Shore Road,Grosse Pointe Farms,MI 48236,USA,MI,48236
752055971,yes,1,"7217 West Crain Street, Niles, IL 60714, USA",42.03869549,-87.80712894,"","",7217 West Crain Street,Niles,IL 60714,USA,IL,60714
752055972,yes,1,"8146 West Monroe Street, Niles, IL 60714, USA",42.02916297,-87.8298294,"","",8146 West Monroe Street,Niles,IL 60714,USA,IL,60714
752055973,yes,1,"9327 Latrobe Avenue, Skokie, IL 60077, USA",42.05073174,-87.75746761,"","",9327 Latrobe Avenue,Skokie,IL 60077,USA,IL,60077
752055974,yes,1,"1013 South Fortuna Avenue, Park Ridge, IL 60068, USA",42.02553434,-87.853676,"","",1013 South Fortuna Avenue,Park Ridge,IL 60068,USA,IL,60068
752055975,yes,1,"1720 Walnut Street, Park Ridge, IL 60068, USA",42.03008533,-87.84871399,"","",1720 Walnut Street,Park Ridge,IL 60068,USA,IL,60068
752055976,"","","8626 North Milwaukee Avenue, Niles, IL 60714, USA",42.03690528,-87.82708178,"","",8626 North Milwaukee Avenue,Niles,IL 60714,USA,IL,60714
752055977,yes,1,"9628 South Springfield Avenue, Evergreen Park, IL 60805, USA",41.71784142,-87.7191794,"","",9628 South Springfield Avenue,Evergreen Park,IL 60805,USA,IL,60805
752055978,yes,1,"5073 Wick Drive, Oak Lawn, IL 60453, USA",41.70759645,-87.74804193,"","",5073 Wick Drive,Oak Lawn,IL 60453,USA,IL,60453
752055979,"","","4676-4698 West 103rd Street, Oak Lawn, IL 60453, USA",41.70569288,-87.73748541,"","",4676-4698 West 103rd Street,Oak Lawn,IL 60453,USA,IL,60453
752055980,"","","9400 Campbell Avenue, Evergreen Park, IL 60805, USA",41.72253849,-87.68452617,"","",9400 Campbell Avenue,Evergreen Park,IL 60805,USA,IL,60805
752055981,"","","9810 Karlov Avenue, Oak Lawn, IL 60453, USA",41.71419732,-87.72422429,"","",9810 Karlov Avenue,Oak Lawn,IL 60453,USA,IL,60453
752055982,yes,1,"2716 North Booth Street, Milwaukee, WI 53212, USA",43.06795187,-87.90390148,"","",2716 North Booth Street,Milwaukee,WI 53212,USA,WI,53212
752055983,yes,1,"2917 West Galena Street, Milwaukee, WI 53208, USA",43.05119588,-87.95053226,"","",2917 West Galena Street,Milwaukee,WI 53208,USA,WI,53208
752055984,"","","1201-1249 West Fond Du Lac Avenue, Milwaukee, WI 53205, USA",43.05319829,-87.92921368,"","",1201-1249 West Fond Du Lac Avenue,Milwaukee,WI 53205,USA,WI,53205
752055985,yes,1,"508-512 West Center Street, Milwaukee, WI 53212, USA",43.06777231,-87.9173253,"","",508-512 West Center Street,Milwaukee,WI 53212,USA,WI,53212
752055986,yes,1,"159 East Cabot Lane, Westbury, NY 11590, USA",40.74698588,-73.54836963,"","",159 East Cabot Lane,Westbury,NY 11590,USA,NY,11590
752055987,yes,1,"74 Friends Lane, Westbury, NY 11590, USA",40.74215952,-73.54890884,"","",74 Friends Lane,Westbury,NY 11590,USA,NY,11590
752055988,yes,1,"834 South Mansfield Avenue, Los Angeles, CA 90036, USA",34.05954194,-118.341447,"","",834 South Mansfield Avenue,Los Angeles,CA 90036,USA,CA,90036
752055989,yes,1,"4714 West 8th Street, Los Angeles, CA 90005, USA",34.06066173,-118.3330594,"","",4714 West 8th Street,Los Angeles,CA 90005,USA,CA,90005
752055990,yes,1,"5028 South Flanders Court, Centennial, CO 80015, USA",39.62533742,-104.7590118,"","",5028 South Flanders Court,Centennial,CO 80015,USA,CO,80015
752055991,yes,1,"East Chenango Avenue, Aurora, CO 80015, USA",39.62703952,-104.7508363,"","",East Chenango Avenue,Aurora,CO 80015,USA,CO,80015
752055992,yes,1,"42 Northwest 49th Avenue, Miami, FL 33126, USA",25.7721884,-80.27607168,"","",42 Northwest 49th Avenue,Miami,FL 33126,USA,FL,33126
752055993,yes,1,"66-68 Southwest 47th Street, Miami, FL 33155, USA",25.7726238,-80.27199793,"","",66-68 Southwest 47th Street,Miami,FL 33155,USA,FL,33155
752055994,yes,1,"626 Holland Avenue, Los Angeles, CA 90042, USA",34.11387749,-118.202669,"","",626 Holland Avenue,Los Angeles,CA 90042,USA,CA,90042
752055995,yes,1,"514-518 North Avenue 54, Los Angeles, CA 90042, USA",34.11248626,-118.1991025,"","",514-518 North Avenue 54,Los Angeles,CA 90042,USA,CA,90042
752055996,yes,1,"310 East Chester Street, Long Beach, NY 11561, USA",40.58926478,-73.65521168,"","",310 East Chester Street,Long Beach,NY 11561,USA,NY,11561
752055997,yes,1,"323 Kerby Road, Grosse Pointe Farms, MI 48236, USA",42.41062362,-82.90369244,"","",323 Kerby Road,Grosse Pointe Farms,MI 48236,USA,MI,48236
752055998,yes,1,"5263 University Place, Detroit, MI 48224, USA",42.41122327,-82.92431953,"","",5263 University Place,Detroit,MI 48224,USA,MI,48224
752055999,no,1,"4502 University Place, Detroit, MI 48224, USA",42.40560628,-82.91981538,"","",4502 University Place,Detroit,MI 48224,USA,MI,48224
752056000,yes,1,"8310 East Wildcat Drive, Tucson, AZ 85730, USA",32.19003241,-110.8142203,"","",8310 East Wildcat Drive,Tucson,AZ 85730,USA,AZ,85730
752056001,"","","1408-1498 South Harrison Road, Tucson, AZ 85748, USA",32.20383089,-110.7898075,"","",1408-1498 South Harrison Road,Tucson,AZ 85748,USA,AZ,85748
752056002,no,1,"1401 South Moonflower Lane, Tucson, AZ 85748, USA",32.20436973,-110.7848277,"","",1401 South Moonflower Lane,Tucson,AZ 85748,USA,AZ,85748
752056003,"","","7937-7961 East Golf Links Road, Tucson, AZ 85730, USA",32.19199666,-110.8226594,"","",7937-7961 East Golf Links Road,Tucson,AZ 85730,USA,AZ,85730
752056004,"","","7777 East Stella Road, Tucson, AZ 85730, USA",32.18512427,-110.8261405,"","",7777 East Stella Road,Tucson,AZ 85730,USA,AZ,85730
752056005,yes,1,"3837 McNab Avenue, Long Beach, CA 90808, USA",33.82841481,-118.1123795,"","",3837 McNab Avenue,Long Beach,CA 90808,USA,CA,90808
752056006,"","","6450 East Parkcrest Street, Long Beach, CA 90808, USA",33.82978451,-118.1066863,"","",6450 East Parkcrest Street,Long Beach,CA 90808,USA,CA,90808
752056007,yes,1,"1632 South Orleans Street, Memphis, TN 38106, USA",35.10252116,-90.04067188,"","",1632 South Orleans Street,Memphis,TN 38106,USA,TN,38106
752056008,"","","1379 Humber Street, Memphis, TN 38106, USA",35.1094799,-90.04508246,"","",1379 Humber Street,Memphis,TN 38106,USA,TN,38106
752056009,yes,1,"2945-2949 North 19th Street, Milwaukee, WI 53206, USA",43.07249987,-87.93678683,"","",2945-2949 North 19th Street,Milwaukee,WI 53206,USA,WI,53206
752056010,yes,1,"3477 North Weil Street, Milwaukee, WI 53212, USA",43.08144358,-87.89916593,"","",3477 North Weil Street,Milwaukee,WI 53212,USA,WI,53212
752056011,yes,1,"3421-3429 North Newhall Street, Milwaukee, WI 53211, USA",43.08013058,-87.89017696,"","",3421-3429 North Newhall Street,Milwaukee,WI 53211,USA,WI,53211
752056012,yes,1,"2238-2240 North 49th Street, Milwaukee, WI 53208, USA",43.0601788,-87.97434999,"","",2238-2240 North 49th Street,Milwaukee,WI 53208,USA,WI,53208
752056013,yes,1,"2445-2447 North 41st Street, Milwaukee, WI 53210, USA",43.06345949,-87.9649364,"","",2445-2447 North 41st Street,Milwaukee,WI 53210,USA,WI,53210
752056014,yes,1,"3214 West Senator Avenue, Milwaukee, WI 53216, USA",43.07622724,-87.95442863,"","",3214 West Senator Avenue,Milwaukee,WI 53216,USA,WI,53216
752056015,yes,1,"3123 North 24th Street, Milwaukee, WI 53206, USA",43.07566643,-87.94265976,"","",3123 North 24th Street,Milwaukee,WI 53206,USA,WI,53206
752056016,yes,1,"782 Cadieux Road, Grosse Pointe, MI 48230, USA",42.39156148,-82.91982299,"","",782 Cadieux Road,Grosse Pointe,MI 48230,USA,MI,48230
752056017,yes,1,"90 Stanton Lane, Grosse Pointe Farms, MI 48236, USA",42.39379387,-82.89935152,"","",90 Stanton Lane,Grosse Pointe Farms,MI 48236,USA,MI,48236
752056018,yes,1,"2862-2866 Coronado Avenue, San Diego, CA 92154, USA",32.5764938,-117.0718706,"","",2862-2866 Coronado Avenue,San Diego,CA 92154,USA,CA,92154
752056019,yes,1,"2820 Sewell Avenue, San Diego, CA 92154, USA",32.57596989,-117.0731224,"","",2820 Sewell Avenue,San Diego,CA 92154,USA,CA,92154
752056020,yes,1,"9652 North 35th Lane, Phoenix, AZ 85051, USA",33.57513857,-112.1358492,"","",9652 North 35th Lane,Phoenix,AZ 85051,USA,AZ,85051
752056021,yes,1,"10007 North 36th Drive, Phoenix, AZ 85051, USA",33.57673591,-112.1368153,"","",10007 North 36th Drive,Phoenix,AZ 85051,USA,AZ,85051
752056022,yes,1,"4814-4846 Willow Springs Road, Western Springs, IL 60558, USA",41.80189668,-87.88874425,"","",4814-4846 Willow Springs Road,Western Springs,IL 60558,USA,IL,60558
752056023,yes,1,"400 Blackstone Avenue, La Grange, IL 60525, USA",41.80652974,-87.8824239,"","",400 Blackstone Avenue,La Grange,IL 60525,USA,IL,60525
752056024,no,1,"2909 Rio Verde Way, Dallas, TX 75228, USA",32.8508972,-96.66513543,"","",2909 Rio Verde Way,Dallas,TX 75228,USA,TX,75228
752056025,yes,1,"2305 Tolosa Drive, Dallas, TX 75228, USA",32.85181649,-96.672581,"","",2305 Tolosa Drive,Dallas,TX 75228,USA,TX,75228
752056026,"","","22801 Harper Avenue, Saint Clair Shores, MI 48080, USA",42.46488826,-82.91053256,"","",22801 Harper Avenue,Saint Clair Shores,MI 48080,USA,MI,48080
752056027,"","","21531 Maxine Street, Saint Clair Shores, MI 48080, USA",42.46111785,-82.90821679,"","",21531 Maxine Street,Saint Clair Shores,MI 48080,USA,MI,48080
752056028,yes,1,"635 Aronimink Place, Drexel Hill, PA 19026, USA",39.94832707,-75.30266469,"","",635 Aronimink Place,Drexel Hill,PA 19026,USA,PA,19026
752056029,"","","4201 Ferne Boulevard, Drexel Hill, PA 19026, USA",39.94883879,-75.30622775,"","",4201 Ferne Boulevard,Drexel Hill,PA 19026,USA,PA,19026
752056030,"","","11615 Woodward Avenue, Detroit, MI 48202, USA",42.39223651,-83.0885767,"","",11615 Woodward Avenue,Detroit,MI 48202,USA,MI,48202
752056031,yes,1,"11600-11698 2nd Avenue, Detroit, MI 48202, USA",42.39088317,-83.09089795,"","",11600-11698 2nd Avenue,Detroit,MI 48202,USA,MI,48202
752056032,yes,1,"2206 6th Avenue, Sacramento, CA 95818, USA",38.54653843,-121.4869816,"","",2206 6th Avenue,Sacramento,CA 95818,USA,CA,95818
752056033,yes,1,"1811 7th Avenue, Sacramento, CA 95818, USA",38.5481893,-121.4945372,"","",1811 7th Avenue,Sacramento,CA 95818,USA,CA,95818
752056034,yes,1,"157 Longcommon Road, Riverside, IL 60546, USA",41.83217382,-87.81609682,"","",157 Longcommon Road,Riverside,IL 60546,USA,IL,60546
752056035,"","","3199 South 1st Avenue, Riverside, IL 60546, USA",41.83065836,-87.82805487,"","",3199 South 1st Avenue,Riverside,IL 60546,USA,IL,60546
752056036,no,1,"121 North Wayne Road, Westland, MI 48185, USA",42.31046521,-83.38933076,"","",121 North Wayne Road,Westland,MI 48185,USA,MI,48185
752056037,"","","Canton Rest Area, Canton, MI 48188, USA",42.30040851,-83.44106119,"","",Canton Rest Area,Canton,MI 48188,USA,MI,48188
752056038,yes,1,"30650 Marquette Street, Garden City, MI 48135, USA",42.31842493,-83.34318926,"","",30650 Marquette Street,Garden City,MI 48135,USA,MI,48135
752056039,no,1,"33736 Cherry Hill Road, Garden City, MI 48135, USA",42.31052684,-83.37238122,"","",33736 Cherry Hill Road,Garden City,MI 48135,USA,MI,48135
752056040,"","","1158 Edwin Street, Westland, MI 48186, USA",42.30031837,-83.4119847,"","",1158 Edwin Street,Westland,MI 48186,USA,MI,48186
752056041,yes,1,"15162 Inverness Street, San Leandro, CA 94579, USA",37.6885338,-122.1529479,"","",15162 Inverness Street,San Leandro,CA 94579,USA,CA,94579
752056042,yes,1,"921 Hoad Street, San Leandro, CA 94579, USA",37.68444645,-122.1434747,"","",921 Hoad Street,San Leandro,CA 94579,USA,CA,94579
752056043,yes,1,"844 Mooney Avenue, San Lorenzo, CA 94580, USA",37.69722126,-122.1246158,"","",844 Mooney Avenue,San Lorenzo,CA 94580,USA,CA,94580
752056044,yes,1,"16341 Kent Avenue, San Lorenzo, CA 94580, USA",37.69427744,-122.1146515,"","",16341 Kent Avenue,San Lorenzo,CA 94580,USA,CA,94580
752056045,yes,1,"4900-4998 Wilhome Way, Baltimore, MD 21206, USA",39.33692398,-76.55824481,"","",4900-4998 Wilhome Way,Baltimore,MD 21206,USA,MD,21206
752056046,yes,1,"3811 Forrester Avenue, Baltimore, MD 21206, USA",39.34055836,-76.55578348,"","",3811 Forrester Avenue,Baltimore,MD 21206,USA,MD,21206
752056047,"","","2523 El Portal Drive, San Pablo, CA 94806, USA",37.96591618,-122.3384428,"","",2523 El Portal Drive,San Pablo,CA 94806,USA,CA,94806
752056048,yes,1,"3101 Wiswall Court, Richmond, CA 94806, USA",37.97507357,-122.321207,"","",3101 Wiswall Court,Richmond,CA 94806,USA,CA,94806
752056049,"","","2024-2204 Richmond Parkway, Richmond, CA 94801, USA",37.95562676,-122.3734959,"","",2024-2204 Richmond Parkway,Richmond,CA 94801,USA,CA,94801
752056050,"","","4277 Santa Rita Road, El Sobrante, CA 94803, USA",37.97122781,-122.3022847,"","",4277 Santa Rita Road,El Sobrante,CA 94803,USA,CA,94803
752056051,no,1,"2742 Clarendon Court, San Pablo, CA 94806, USA",37.96589151,-122.3348779,"","",2742 Clarendon Court,San Pablo,CA 94806,USA,CA,94806
752056052,yes,1,"2240 Brookhaven Court, San Pablo, CA 94806, USA",37.96379133,-122.3514922,"","",2240 Brookhaven Court,San Pablo,CA 94806,USA,CA,94806
752056053,yes,1,"3678 Soaring Eagle Way, Magna, UT 84044, USA",40.69215825,-112.0998892,"","",3678 Soaring Eagle Way,Magna,UT 84044,USA,UT,84044
752056054,"","","7636 West 3210 South, Magna, UT 84044, USA",40.70268249,-112.0737087,"","",7636 West 3210 South,Magna,UT 84044,USA,UT,84044
752056055,"","","3154 South 7200 West, Magna, UT 84044, USA",40.70304344,-112.0641726,"","",3154 South 7200 West,Magna,UT 84044,USA,UT,84044
752056056,"","","1614 East North Avenue, Milwaukee, WI 53202, USA",43.0603547,-87.88978387,"","",1614 East North Avenue,Milwaukee,WI 53202,USA,WI,53202
752056057,yes,1,"21084 East Jefferson Circle, Aurora, CO 80013, USA",39.64814532,-104.7427563,"","",21084 East Jefferson Circle,Aurora,CO 80013,USA,CO,80013
752056058,yes,1,"1351-1389 North Shumway Avenue, Chandler, AZ 85225, USA",33.32690966,-111.8197113,"","",1351-1389 North Shumway Avenue,Chandler,AZ 85225,USA,AZ,85225
752056059,yes,1,"1057 South Harrington Street, Gilbert, AZ 85233, USA",33.33014965,-111.8061248,"","",1057 South Harrington Street,Gilbert,AZ 85233,USA,AZ,85233
752056060,yes,1,"970 South Pueblo Street, Gilbert, AZ 85233, USA",33.33227945,-111.7976516,"","",970 South Pueblo Street,Gilbert,AZ 85233,USA,AZ,85233
752056061,yes,1,"1059-1099 West Sherri Drive, Gilbert, AZ 85233, USA",33.32859911,-111.8134678,"","",1059-1099 West Sherri Drive,Gilbert,AZ 85233,USA,AZ,85233
752056062,yes,1,"1051-1099 North Hudson Place, Chandler, AZ 85225, USA",33.32241874,-111.8178539,"","",1051-1099 North Hudson Place,Chandler,AZ 85225,USA,AZ,85225
752056063,yes,1,"101-199 East Harrison Street, Chandler, AZ 85225, USA",33.31523097,-111.8396777,"","",101-199 East Harrison Street,Chandler,AZ 85225,USA,AZ,85225
752056064,yes,1,"1470 East 67th Street, Kansas City, MO 64131, USA",39.00599866,-94.56724721,"","",1470 East 67th Street,Kansas City,MO 64131,USA,MO,64131
752056065,no,1,"6629 Tracy Avenue, Kansas City, MO 64131, USA",39.00725886,-94.57188497,"","",6629 Tracy Avenue,Kansas City,MO 64131,USA,MO,64131
752056066,yes,1,"218 East 73rd Street, Kansas City, MO 64114, USA",38.99589931,-94.5861369,"","",218 East 73rd Street,Kansas City,MO 64114,USA,MO,64114
752056067,yes,1,"6420 McGee Street, Kansas City, MO 64113, USA",39.01097655,-94.58542376,"","",6420 McGee Street,Kansas City,MO 64113,USA,MO,64113
752056068,no,1,"6641 Chestnut Avenue, Kansas City, MO 64132, USA",39.00579864,-94.55384595,"","",6641 Chestnut Avenue,Kansas City,MO 64132,USA,MO,64132
752056069,"","","5745 Denver Avenue, Kansas City, MO 64130, USA",39.02020785,-94.52546699,"","",5745 Denver Avenue,Kansas City,MO 64130,USA,MO,64130
752056070,"","","9201 Memphis Drive, Lubbock, TX 79423, USA",33.51154277,-101.8947584,"","",9201 Memphis Drive,Lubbock,TX 79423,USA,TX,79423
752056071,yes,1,"3236 92nd Street, Lubbock, TX 79423, USA",33.51110093,-101.8854692,"","",3236 92nd Street,Lubbock,TX 79423,USA,TX,79423
752056072,yes,1,"3107 76th Street, Lubbock, TX 79423, USA",33.52477589,-101.8823182,"","",3107 76th Street,Lubbock,TX 79423,USA,TX,79423
752056073,"","","4500-4554 85th Street, Lubbock, TX 79424, USA",33.51598264,-101.9070266,"","",4500-4554 85th Street,Lubbock,TX 79424,USA,TX,79424
752056074,yes,1,"9584-9792 Northlawn Street, Detroit, MI 48204, USA",42.36777199,-83.15272498,"","",9584-9792 Northlawn Street,Detroit,MI 48204,USA,MI,48204
752056075,yes,1,"10311 Orangelawn Street, Detroit, MI 48204, USA",42.36878769,-83.16192239,"","",10311 Orangelawn Street,Detroit,MI 48204,USA,MI,48204
752056076,yes,1,"6074-6098 East Betty Elyse Lane, Scottsdale, AZ 85254, USA",33.62735612,-111.9487932,"","",6074-6098 East Betty Elyse Lane,Scottsdale,AZ 85254,USA,AZ,85254
752056077,yes,1,"6001 East Paradise Lane, Scottsdale, AZ 85254, USA",33.63255772,-111.9513579,"","",6001 East Paradise Lane,Scottsdale,AZ 85254,USA,AZ,85254
752056078,"","","1571-1755 Northeast 162nd Avenue, Vancouver, WA 98684, USA",45.63511914,-122.5060196,"","",1571-1755 Northeast 162nd Avenue,Vancouver,WA 98684,USA,WA,98684
752056079,yes,1,"15820 Northeast 20th Street, Vancouver, WA 98684, USA",45.63708922,-122.5090712,"","",15820 Northeast 20th Street,Vancouver,WA 98684,USA,WA,98684
752056080,yes,1,"55 Metairie Court, Metairie, LA 70001, USA",29.99051495,-90.178339,"","",55 Metairie Court,Metairie,LA 70001,USA,LA,70001
